Date Event Generated,Instrument Type,Installed Product ID,System Name,Event Description,Component,Error ID,Source of Event,Location,Status,Exp Date,Closed Reason
tue jul 26 2022 21:59:55 gmt+0000,akta avant 25,28930842-1521342,avant,hatch drawer has been in a not valid position for a longer duration. open or close the hatch again. contact service if this doesn’t solve the problem.,eis.frac_16,27.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
tue jul 26 2022 21:42:04 gmt+0000,akta avant 25,28930842-2584237,avant2,mixer motor is blocked.,eis.mixer_14,25.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,duplicate event
tue jul 26 2022 20:37:24 gmt+0000,akta avant 25,28930842-2584237,avant2,fraction collector arm is blocked or internal fault in the fraction collector. power off the instrument and check for obstruction inside the fraction collector. power on the instrument and try again.,eis.frac_15,20.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
tue jul 26 2022 17:56:07 gmt+0000,akta avant 25,28930842-1823152,akta1,freaq is blocked due to open hatch signals.,eis.frac_15,54.0,nan,"buffalo, united states of america",closed,2026-12-22t00:00:00.000z,no action required
tue jul 26 2022 16:25:27 gmt+0000,akta avant 25,28930842-2584237,avant2,fraction collector arm is blocked or internal fault in the fraction collector. power off the instrument and check for obstruction inside the fraction collector. power on the instrument and try again.,eis.frac_15,20.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
tue jul 26 2022 15:58:55 gmt+0000,akta avant 25,28930842-1521342,avant,high absorption. no light through cell. check solution absorption and that the cell is fitted correctly.,eis.uv_7,36.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,duplicate event
tue jul 26 2022 14:29:54 gmt+0000,akta avant 25,28930842-1521342,avant,hatch drawer has been in a not valid position for a longer duration. open or close the hatch again. contact service if this doesn’t solve the problem.,eis.frac_16,27.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
tue jul 26 2022 09:30:47 gmt+0000,akta avant 25,28930842-2584237,avant2,fraction collector arm is blocked or internal fault in the fraction collector. power off the instrument and check for obstruction inside the fraction collector. power on the instrument and try again.,eis.frac_15,20.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
mon jul 25 2022 22:18:38 gmt+0000,akta avant 25,28930842-1521342,avant,high absorption. no light through cell. check solution absorption and that the cell is fitted correctly.,eis.uv_7,36.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,duplicate event
mon jul 25 2022 21:43:36 gmt+0000,akta avant 25,28930842-1521342,avant,hatch drawer has been in a not valid position for a longer duration. open or close the hatch again. contact service if this doesn’t solve the problem.,eis.frac_16,27.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
sat jul 23 2022 14:45:21 gmt+0000,akta pure 150 l,29046665-1803865,akta pure 01,edge gateway offline for over 1 hour,nan,nan,connectivity,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
sat jul 23 2022 14:45:21 gmt+0000,akta pure 150 l,29046665-2173176,akta pure 03,edge gateway offline for over 1 hour,nan,nan,connectivity,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
sat jul 23 2022 14:45:21 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,edge gateway offline for over 1 hour,nan,nan,connectivity,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
sat jul 23 2022 14:45:21 gmt+0000,akta pure 150 l,29046665-2214582,akta pure 04,edge gateway offline for over 1 hour,nan,nan,connectivity,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
sat jul 23 2022 14:45:21 gmt+0000,akta pure 25 l,29018224-1900349,akta pure 02,edge gateway offline for over 1 hour,nan,nan,connectivity,"cambridge, united kingdom",closed,2024-04-30t00:00:00.000z,no action required
sat jul 23 2022 01:55:58 gmt+0000,akta avant 25,28930842-1976993,chrm-135256,edge gateway offline for over 1 hour,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,no action required
thu jul 21 2022 16:03:01 gmt+0000,akta pure 150 l,29046665-1803865,akta pure 01,accumulator mode is now running without drop hold.,eis.frac_15,70.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
thu jul 21 2022 12:28:03 gmt+0000,akta pure 150 l,29046665-1803865,akta pure 01,accumulator mode is now running without drop hold.,eis.frac_15,70.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
thu jul 21 2022 00:37:23 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,can-bus warning.,eis.icu_1,43.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
wed jul 20 2022 23:05:35 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,can-bus warning.,eis.icu_1,43.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
wed jul 20 2022 21:26:36 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,can-bus warning.,eis.icu_1,43.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
wed jul 20 2022 20:18:37 gmt+0000,akta avant 25,28930842-1521342,avant,hatch drawer has been in a not valid position for a longer duration. open or close the hatch again. contact service if this doesn’t solve the problem.,eis.frac_16,27.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
wed jul 20 2022 20:18:15 gmt+0000,akta avant 25,28930842-1521342,avant,hatch drawer has been in a not valid position for a longer duration. open or close the hatch again. contact service if this doesn’t solve the problem.,eis.frac_16,27.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
wed jul 20 2022 19:42:39 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,can-bus warning.,eis.icu_1,43.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
wed jul 20 2022 19:05:11 gmt+0000,akta avant 25,28930842-1521342,avant,hatch drawer has been in a not valid position for a longer duration. open or close the hatch again. contact service if this doesn’t solve the problem.,eis.frac_16,27.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
wed jul 20 2022 18:30:09 gmt+0000,akta avant 150,28976337-1850603,19-5056,no instrument data received for over 1 hour during a run,nan,nan,connectivity,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,customer resolved on own
wed jul 20 2022 18:20:01 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,can-bus warning.,eis.icu_1,43.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
wed jul 20 2022 17:28:59 gmt+0000,akta avant 25,28930842-2584237,avant2,fraction collector arm is blocked or internal fault in the fraction collector. power off the instrument and check for obstruction inside the fraction collector. power on the instrument and try again.,eis.frac_15,20.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
wed jul 20 2022 17:18:12 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,user datagram protocol checksum error.,eis.icu_1,25.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
wed jul 20 2022 17:18:08 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,user datagram protocol checksum error.,eis.icu_1,25.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
wed jul 20 2022 17:13:02 gmt+0000,akta pure 25 l1,29018225-2285841,02_pure25_2285841,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-05-29t00:00:00.000z,service case created
wed jul 20 2022 17:13:01 gmt+0000,akta avant 25,28930842-2609121,05_avant25_2609121,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-06-17t00:00:00.000z,service case created
wed jul 20 2022 17:12:59 gmt+0000,akta pure 25 m,29018226-2600047,07_pure25_2600047,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-06-17t00:00:00.000z,service case created
wed jul 20 2022 17:12:59 gmt+0000,akta avant 25,28930842-2763911,09_avant25_2763911,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-07-28t00:00:00.000z,service case created
wed jul 20 2022 17:12:56 gmt+0000,akta pure 25 l1,29018225-2509860,03_pure25_2509860,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-05-29t00:00:00.000z,service case created
wed jul 20 2022 17:12:56 gmt+0000,akta pure 150 l,29046665-2599742,04_pure150_2599742,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-06-17t00:00:00.000z,service case created
wed jul 20 2022 17:12:43 gmt+0000,akta avant 25,28930842-2840649,06_avant25_2840649,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,nan,service case created
wed jul 20 2022 17:12:42 gmt+0000,akta avant 150,28976337-2453900,08_avant150_2453900,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-05-10t00:00:00.000z,service case created
wed jul 20 2022 17:12:42 gmt+0000,akta pure 25 l1,29018225-1687455,01_pure25_1687455,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-05-10t00:00:00.000z,service case created
wed jul 20 2022 17:12:37 gmt+0000,akta avant 25,28930842-2606268,06_avant25_2606268,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-06-17t00:00:00.000z,service case created
wed jul 20 2022 17:12:37 gmt+0000,akta pure 25 l1,29018225-2214579,02_pure25_2214579,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-05-10t00:00:00.000z,service case created
wed jul 20 2022 17:12:37 gmt+0000,akta avant 25,28930842-2795018,05_avant25_2795018,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-09-23t00:00:00.000z,service case created
wed jul 20 2022 17:12:36 gmt+0000,akta pure 25 l,29018224-2606300,03_pure25_2606300,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-06-17t00:00:00.000z,service case created
wed jul 20 2022 16:00:12 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,soft module busy when receiving command.,eis.icu_1,65.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
wed jul 20 2022 15:00:11 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,can-bus warning.,eis.icu_1,43.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
wed jul 20 2022 14:28:08 gmt+0000,akta avant 25,28930842-1521342,avant,hatch drawer has been in a not valid position for a longer duration. open or close the hatch again. contact service if this doesn’t solve the problem.,eis.frac_16,27.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
wed jul 20 2022 14:12:35 gmt+0000,akta avant 25,28930842-1837474,19-5059,fraction collector is blocked or internal fault in the fraction collector. power off the instrument and check for obstruction inside the fraction collector. power on the instrument and try again.,eis.frac_15,21.0,vid service log,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,no action required
wed jul 20 2022 13:46:59 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,limit data not valid.,eis.icu_270,52.0,nan,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
wed jul 20 2022 13:46:58 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,can-bus warning.,eis.icu_1,43.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
wed jul 20 2022 13:35:54 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,user datagram protocol checksum error.,eis.icu_1,25.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
wed jul 20 2022 13:24:36 gmt+0000,akta avant 25,28930842-2584237,avant2,fraction collector arm is blocked or internal fault in the fraction collector. power off the instrument and check for obstruction inside the fraction collector. power on the instrument and try again.,eis.frac_15,20.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
wed jul 20 2022 11:43:00 gmt+0000,akta pure 25 l1,29018225-2509860,03_pure25_2509860,no instrument data received for over 1 hour during a run,nan,nan,connectivity,"austin, united states of america",closed,2023-05-29t00:00:00.000z,no action required
wed jul 20 2022 00:51:00 gmt+0000,akta avant 25,28930842-1837474,19-5059,accumulator mode is now running without drop hold.,eis.frac_15,70.0,vid service log,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,no action required
tue jul 19 2022 21:21:43 gmt+0000,akta avant 150,28976337-1828492,19-5058,high absorption. no light through cell. check solution absorption and that the cell is fitted correctly.,eis.uv_7,36.0,vid service log,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,no action required
tue jul 19 2022 20:44:09 gmt+0000,akta avant 25,28930842-2584237,avant2,fraction collector arm is blocked or internal fault in the fraction collector. power off the instrument and check for obstruction inside the fraction collector. power on the instrument and try again.,eis.frac_15,20.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
tue jul 19 2022 18:11:38 gmt+0000,akta avant 25,28930842-2584237,avant2,fraction collector arm is blocked or internal fault in the fraction collector. power off the instrument and check for obstruction inside the fraction collector. power on the instrument and try again.,eis.frac_15,20.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
tue jul 19 2022 14:13:39 gmt+0000,akta avant 25,28930842-1521342,avant,hatch drawer has been in a not valid position for a longer duration. open or close the hatch again. contact service if this doesn’t solve the problem.,eis.frac_16,27.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
tue jul 19 2022 13:20:07 gmt+0000,akta avant 25,28930842-2584237,avant2,fraction collector arm is blocked or internal fault in the fraction collector. power off the instrument and check for obstruction inside the fraction collector. power on the instrument and try again.,eis.frac_15,20.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
mon jul 18 2022 23:59:17 gmt+0000,akta avant 25,28930842-1837474,19-5059,accumulator mode is now running without drop hold.,eis.frac_15,70.0,vid service log,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,no action required
mon jul 18 2022 22:04:28 gmt+0000,akta avant 25,28930842-2584237,avant2,fraction collector arm is blocked or internal fault in the fraction collector. power off the instrument and check for obstruction inside the fraction collector. power on the instrument and try again.,eis.frac_15,20.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
mon jul 18 2022 20:21:23 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,event acknowledge timeout. no response on the event.,eis.icu_1,50.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
mon jul 18 2022 20:15:31 gmt+0000,akta avant 25,28930842-2584237,avant2,fraction collector arm is blocked or internal fault in the fraction collector. power off the instrument and check for obstruction inside the fraction collector. power on the instrument and try again.,eis.frac_15,20.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
mon jul 18 2022 19:33:41 gmt+0000,akta avant 25,28930842-1521342,avant,high absorption. no light through cell. check solution absorption and that the cell is fitted correctly.,eis.uv_7,36.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
mon jul 18 2022 19:06:55 gmt+0000,akta avant 25,28930842-2584237,avant2,fraction collector arm is blocked or internal fault in the fraction collector. power off the instrument and check for obstruction inside the fraction collector. power on the instrument and try again.,eis.frac_15,20.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
mon jul 18 2022 18:15:37 gmt+0000,akta avant 25,28930842-1521342,avant,hatch drawer has been in a not valid position for a longer duration. open or close the hatch again. contact service if this doesn’t solve the problem.,eis.frac_16,27.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
mon jul 18 2022 17:15:47 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,can-bus warning.,eis.icu_1,43.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
mon jul 18 2022 14:51:04 gmt+0000,akta avant 25,28930842-2584237,avant2,mixer motor is blocked.,eis.mixer_14,25.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,duplicate event
mon jul 18 2022 13:07:33 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,can-bus warning.,eis.icu_1,43.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
mon jul 18 2022 10:46:48 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,can-bus warning.,eis.icu_1,43.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
mon jul 18 2022 06:24:34 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,can-bus warning.,eis.icu_1,43.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
mon jul 18 2022 04:29:36 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,can-bus warning.,eis.icu_1,43.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
mon jul 18 2022 04:29:35 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,limit data not valid.,eis.icu_270,52.0,nan,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
mon jul 18 2022 03:44:18 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,user datagram protocol checksum error.,eis.icu_1,25.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
mon jul 18 2022 03:44:15 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,user datagram protocol checksum error.,eis.icu_1,25.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
mon jul 18 2022 03:16:50 gmt+0000,akta avant 150,28976337-2721728,19-7005,bad temperature data.,eis.ph_11,22.0,nan,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,duplicate event
mon jul 18 2022 03:16:50 gmt+0000,akta avant 150,28976337-2721728,19-7005,temperature over range. the temperature data over 80 °c will give bad accuracy.,eis.cond_10,30.0,nan,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,duplicate event
fri jul 15 2022 04:55:00 gmt+0000,akta pure 150 l,29046665-2173176,akta pure 03,accumulator mode is now running without drop hold.,eis.frac_15,70.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
fri jul 15 2022 01:51:15 gmt+0000,akta avant 25,28930842-2584237,avant2,mixer motor is blocked.,eis.mixer_14,25.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
fri jul 15 2022 01:41:35 gmt+0000,akta pure 150 l,29046665-2173176,akta pure 03,accumulator mode is now running without drop hold.,eis.frac_15,70.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
thu jul 14 2022 22:27:44 gmt+0000,akta pure 150 l,29046665-2173176,akta pure 03,accumulator mode is now running without drop hold.,eis.frac_15,70.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
thu jul 14 2022 19:14:31 gmt+0000,akta pure 150 l,29046665-2173176,akta pure 03,accumulator mode is now running without drop hold.,eis.frac_15,70.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
thu jul 14 2022 16:00:02 gmt+0000,akta pure 150 l,29046665-2173176,akta pure 03,accumulator mode is now running without drop hold.,eis.frac_15,70.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
thu jul 14 2022 15:30:58 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,soft module busy when receiving command.,eis.icu_1,65.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
thu jul 14 2022 15:30:51 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,soft module busy when receiving command.,eis.icu_1,65.0,system audit trail,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
thu jul 14 2022 14:21:19 gmt+0000,akta avant 25,28930842-2584237,avant2,fraction collector arm is blocked or internal fault in the fraction collector. power off the instrument and check for obstruction inside the fraction collector. power on the instrument and try again.,eis.frac_15,20.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
thu jul 14 2022 14:16:08 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,can-bus warning.,eis.icu_1,43.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
thu jul 14 2022 12:30:39 gmt+0000,akta pure 25 l,29018224-2606300,03_pure25_2606300,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-06-17t00:00:00.000z,service case created
thu jul 14 2022 12:30:38 gmt+0000,akta pure 25 l1,29018225-2509860,03_pure25_2509860,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-05-29t00:00:00.000z,service case created
thu jul 14 2022 12:30:37 gmt+0000,akta pure 25 l1,29018225-1687455,01_pure25_1687455,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-05-10t00:00:00.000z,service case created
thu jul 14 2022 12:30:37 gmt+0000,akta avant 25,28930842-2763911,09_avant25_2763911,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-07-28t00:00:00.000z,service case created
thu jul 14 2022 12:30:35 gmt+0000,akta avant 25,28930842-2606268,06_avant25_2606268,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-06-17t00:00:00.000z,service case created
thu jul 14 2022 12:30:34 gmt+0000,akta pure 150 l,29046665-2599742,04_pure150_2599742,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-06-17t00:00:00.000z,service case created
thu jul 14 2022 12:30:33 gmt+0000,akta avant 25,28930842-2840649,06_avant25_2840649,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,nan,service case created
thu jul 14 2022 12:30:33 gmt+0000,akta pure 25 l1,29018225-2285841,02_pure25_2285841,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-05-29t00:00:00.000z,service case created
thu jul 14 2022 12:30:23 gmt+0000,akta pure 25 m,29018226-2600047,07_pure25_2600047,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-06-17t00:00:00.000z,service case created
thu jul 14 2022 12:30:19 gmt+0000,akta pure 25 l1,29018225-2214579,02_pure25_2214579,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-05-10t00:00:00.000z,service case created
thu jul 14 2022 12:30:19 gmt+0000,akta avant 25,28930842-2795018,05_avant25_2795018,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-09-23t00:00:00.000z,service case created
thu jul 14 2022 12:30:17 gmt+0000,akta avant 25,28930842-2609121,05_avant25_2609121,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-06-17t00:00:00.000z,service case created
thu jul 14 2022 12:30:17 gmt+0000,akta avant 150,28976337-2453900,08_avant150_2453900,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-05-10t00:00:00.000z,service case created
thu jul 14 2022 12:12:40 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,can-bus warning.,eis.icu_1,43.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
thu jul 14 2022 09:42:18 gmt+0000,akta avant 150,28976337-2721728,19-7005,bad temperature data.,eis.ph_11,22.0,nan,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,service case created
thu jul 14 2022 09:42:18 gmt+0000,akta avant 150,28976337-2721728,19-7005,temperature over range. the temperature data over 80 °c will give bad accuracy.,eis.cond_10,30.0,nan,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,service case created
thu jul 14 2022 08:32:40 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,can-bus warning.,eis.icu_1,43.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
thu jul 14 2022 07:12:30 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,can-bus warning.,eis.icu_1,43.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
thu jul 14 2022 05:33:38 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,can-bus warning.,eis.icu_1,43.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
thu jul 14 2022 04:31:19 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,can-bus warning.,eis.icu_1,43.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
thu jul 14 2022 01:14:53 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,limit data not valid.,eis.icu_270,52.0,nan,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
thu jul 14 2022 00:10:41 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,can-bus warning.,eis.icu_1,43.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
wed jul 13 2022 23:02:26 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,user datagram protocol checksum error.,eis.icu_1,25.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
wed jul 13 2022 21:27:55 gmt+0000,akta avant 25,28930842-2584237,avant2,fraction collector arm is blocked or internal fault in the fraction collector. power off the instrument and check for obstruction inside the fraction collector. power on the instrument and try again.,eis.frac_15,20.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
wed jul 13 2022 21:27:52 gmt+0000,akta avant 25,28930842-2584237,avant2,freaq is blocked due to open hatch signals.,eis.frac_15,54.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
wed jul 13 2022 18:26:14 gmt+0000,akta avant 25,28930842-2720136,19-7003,freaq is blocked due to open hatch signals.,eis.frac_15,54.0,vid service log,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,no action required
wed jul 13 2022 18:26:04 gmt+0000,akta avant 25,28930842-2720136,19-7003,freaq is blocked due to open hatch signals.,eis.frac_15,54.0,system audit trail,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,no action required
wed jul 13 2022 18:21:04 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,user datagram protocol checksum error.,eis.icu_1,25.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
wed jul 13 2022 17:28:55 gmt+0000,akta pure 150 m,29046694-1917678,akta pure 150,pump head is blocked or there is an error in the pump.,eis.pump_2,51.0,vid service log,"malvern, united states of america",closed,2023-03-11t00:00:00.000z,duplicate event
wed jul 13 2022 15:59:12 gmt+0000,akta avant 25,28930842-1521342,avant,hatch drawer has been in a not valid position for a longer duration. open or close the hatch again. contact service if this doesn’t solve the problem.,eis.frac_16,27.0,nan,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
wed jul 13 2022 15:58:40 gmt+0000,akta avant 25,28930842-1521342,avant,hatch drawer has been in a not valid position for a longer duration. open or close the hatch again. contact service if this doesn’t solve the problem.,eis.frac_16,27.0,nan,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
wed jul 13 2022 12:31:07 gmt+0000,akta pure 150 m,29046694-1917678,akta pure 150,pump head is blocked or there is an error in the pump.,eis.pump_2,52.0,nan,"malvern, united states of america",closed,2023-03-11t00:00:00.000z,duplicate event
wed jul 13 2022 08:55:20 gmt+0000,akta avant 25,28930842-1909832,akta avant 25,user datagram protocol checksum error.,eis.icu_1,25.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
